鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中西區,房地(土地+建物)+車位,臺南市中西區中華西路二段８３３號十八樓之７,12.89,住,,,1150101,土地1建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1120323,149.73000000000002,2,2,2,有,有,16400000,109530,坡道平面,27.08,0,,RPSNMLLMJHLGFAD57DA,71.95,0.0,9.38,有,014
北區,土地,忠義段789地號,148.6,商,,,1150112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13490000,90781,,0.0,0,未登記建物；,RPTNMLNJKHLGFAD67DA,0.0,0.0,0.0,無,
北區,建物,臺南市北區長榮路五段４０１巷８５號,0.0,,,,1150104,土地0建物1車位0,全,一層,透天厝,住家用,加強磚造,0570429,46.57,3,2,2,有,無,2500000,53683,,0.0,0,本案土地為仁愛之家土地；建物坐落地號：延平段1063地號；其他增建；,RPUNMLQJKHLGFAD08DA,46.57,0.0,0.0,無,015
安平區,房地(土地+建物),臺南市安平區健康三街１５６號九樓之３,10.88,住,,,1150128,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0950822,85.41,2,1,2,有,有,5950000,69664,,0.0,0,,RPWNMLTJKHLGFAD58DA,53.84,0.0,7.65,有,016
安南區,土地,國安段1623-2地號,440.44,住,,,1150106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,64880000,147307,,0.0,0,,RPSNMLOKJHLGFBD77DA,0.0,0.0,0.0,無,
安南區,土地,和農段152地號,93.83,農,,,1150129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,985215,10500,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTLJHLGFBD08DA,0.0,0.0,0.0,無,017
安南區,土地,青草段510地號,70.07,農,,,1150130,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60000,856,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPVNMLMJKHLGFBD87DA,0.0,0.0,0.0,無,
安南區,房地(土地+建物),臺南市安南區安中路一段７０２巷５３號,69.6,住,,,1150129,土地14建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700907,104.69999999999999,3,2,2,有,無,1770000,16907,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLMJKHLGFBD67DA,82.22,0.01,11.43,無,
安南區,土地,國安段1555地號,36.76,住,,,1150127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2440000,66376,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRJKHLGFBD77DA,0.0,0.0,0.0,無,018
安南區,房地(土地+建物)+車位,臺南市安南區永續十八街３０號五樓,18.74,住,,,1150110,土地1建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110304,139.57,3,2,2,有,有,11000000,78813,坡道平面,24.39,0,,RPQOMLTJKHLGFBD18DA,62.03,7.02,4.1,有,019
安南區,房地(土地+建物),臺南市安南區惠安街１４５巷７號,110.5,住,,,1150111,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690909,90.4,4,2,2,有,無,7100000,78540,,0.0,0,頂樓加蓋；,RPROMLTJKHLGFBD28DA,90.4,0.0,0.0,無,
安南區,土地,外塭段604地號,116.5,住,,,1150108,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,64378,,0.0,0,1.土地3筆新台幣700萬元2.未保存建物新台幣50萬元未登記建物；,RPRNMLKKKHLGFBD37DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段９２號七樓之１,21.81,住,,,1150117,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130816,146.06,3,2,2,有,有,16800000,126283,坡道平面,26.25,1670000,預售屋、或土地及建物分件登記案件；,RPQNMLLLJHLGFCD47DA,69.75,0.0,8.12,有,
南區,房地(土地+建物),臺南市南區金華路一段３５２巷１０２弄２８號,93.0,住,,,1150107,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130905,222.19,4,2,5,有,無,24500000,110266,,0.0,0,,RPROMLMJKHLGFCD67DA,199.37,0.0,22.82,無,
南區,房地(土地+建物),臺南市南區三官路４５號,66.0,住,,,1150102,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0651018,120.34,4,2,3,有,無,7100000,59000,,0.0,0,,RPROMLOJKHLGFCD87DA,120.34,0.0,0.0,無,
鹽水區,土地,南港段680地號,830.15,,鄉村區,乙種建築用地,1150129,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1900000,2289,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLTLJHLGFDD38DA,0.0,0.0,0.0,無,
新營區,土地,三興段1578地號,70.2,住,,,1150131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5310000,75641,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJKHLGFDD08DA,0.0,0.0,0.0,無,
白河區,土地,埤子頭段埤子頭小段2306地號,2939.0,,特定農業區,農牧用地,1150110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4300000,1463,,0.0,0,,RPPNMLKKJHLGFED37DA,0.0,0.0,0.0,無,
