鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
永康區,房地(土地+建物),台南市永康區成功里小東路６８９之７１號,7.96,商,,,1011122,土地1建物1車位0,十四層,二十二層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810519,92.82,0,0,0,無,有,1400000,15083,,0.0,0,,RPXOMLSLKIHFFHR87CA,66.75,0.0,0.0,,
永康區,房地(土地+建物),台南市永康區中華二路２０６巷６６號三樓之３,22.65,住,,,1011118,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700604,86.02,3,2,2,有,無,2460000,28598,,0.0,0,,RPROMLMJJHIFFHR98CA,78.1,0.0,7.92,,
永康區,房地(土地+建物),台南市永康區永勝街１６９巷６號二樓之２,15.26,住,,,1011112,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830610,115.63,3,2,2,有,有,3600000,31134,,0.0,0,,RPPOMLMLKIHFFHR09CA,0.0,0.0,0.0,,
永康區,房地(土地+建物),台南市永康區復華里復國二路217號十樓之1,21.24,住,,,1011121,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840520,119.85,2,2,2,有,有,2800000,23363,,0.0,0,,RPXNMLTKKIHFFHR77CA,78.42,0.0,10.64,,
永康區,房地(土地+建物),台南市永康區鹽洲二街１７５巷５５號,83.42,住,,,1011116,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0840819,187.15,5,3,4,有,無,5400000,28854,,0.0,0,,RPUNMLLKKIHFFHR66CA,173.16,0.0,13.99,,
新市區,房地(土地+建物),台南市新化區大營２９５之１７號,113.7,住,鄉村區,乙種建築用地,1011126,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821026,149.06,5,2,3,有,無,2900000,19455,,0.0,0,,RPRNMLPKKIHFFER09CA,141.44,0.0,7.62,,
新市區,房地(土地+建物)+車位,台南市新巿區永華三街１６號八樓,43.75,住,特定專用區,甲種建築用地,1011013,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,134.23,3,2,2,有,有,2420000,18029,坡道平面,0.0,0,,RPPPMLOKKIHFFER98CA,79.85,0.0,9.62,,
善化區,房地(土地+建物),台南市善化區成功路１６９巷９６弄２９２號,90.0,住,,,1011122,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1010716,184.47,5,2,4,有,無,6850000,37133,,0.0,0,,RPQNMLOKKIHFFER88CA,0.0,0.0,0.0,,
左鎮區,土地,山豹段540-1地號,1001.68,,山坡地保育區,農牧用地,1011127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,170000,170,,0.0,0,,RPTNMLLKKIHFFER88CA,0.0,0.0,0.0,,
善化區,土地,茄拔段一小段1458-2地號,240.0,住,鄉村區,乙種建築用地,1011127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2613600,10890,,0.0,0,,RPOOMLKKKIHFFER38CA,0.0,0.0,0.0,,
佳里區,房地(土地+建物)+車位,台南市佳里區六安里林園街6號,111.54,住,,,1010923,土地1建物1車位2,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010808,196.07,5,2,3,有,無,6980000,35600,一樓平面,0.0,0,,RPQOMLPKKIHFFDR98CA,170.52,0.0,25.55,,
將軍區,土地,巷口段一小段1654地號,16444.0,農,特定農業區,農牧用地,1011205,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7300000,444,,0.0,0,,RPRNMLMJJHIFFDR48CA,0.0,0.0,0.0,,
麻豆區,土地,謝厝寮段177-7地號,4997.0,農,,,1011022,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8750000,1751,,0.0,0,,RPTNMLSKKIHFFCR76CA,0.0,0.0,0.0,,
佳里區,房地(土地+建物)+車位,台南市佳里區林園街26號,79.6,住,,,1010928,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010808,177.35,5,2,3,有,無,5700000,32140,一樓平面,0.0,0,,RPOOMLPKKIHFFDR78CA,153.26,0.0,24.09,,
佳里區,房地(土地+建物)+車位,台南市佳里區建南里佳南路225巷2號,121.17,住,,,1011022,土地1建物1車位2,全,四層,透天厝,住家用,鋼筋混凝土造,1010806,192.12,5,2,4,有,無,6580000,34249,一樓平面,0.0,0,,RPUOMLKKKIHFFDR88CA,167.44,0.0,24.68,,
西港區,土地,八分段189-4地號,351.0,其他,鄉村區,乙種建築用地,1011121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1448800,4128,,0.0,0,鄉村區乙種建地,RPWNMLKKKIHFFDR98CA,0.0,0.0,0.0,,
佳里區,土地,佳化段2314地號,589.67,,特定農業區,農牧用地,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,2544,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLLKKIHFFDR48CA,0.0,0.0,0.0,,
新營區,房地(土地+建物),台南市新營區大宏里２９鄰新東街５５號,86.49,商,,,1011108,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0640110,119.35,3,2,2,有,無,2100000,17595,,0.0,0,,RPRNMLNKKIHFFAR48CA,113.14,0.0,6.21,,
新營區,房地(土地+建物),台南市新營區義和街２８之５號,73.96,住,,,1011122,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810420,156.39,4,2,3,有,無,3600000,23019,,0.0,0,,RPUNMLLKKIHFFAR58CA,139.93,0.0,16.46,,
新營區,土地,新東段42地號,310.76,住,,,1011119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8840000,28446,,0.0,0,,RPRNMLLKKIHFFAR28CA,0.0,0.0,0.0,,
東區,房地(土地+建物),台南市東區光華街２２９巷２７弄４５號,100.0,住,,,1011114,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0790306,161.16,6,2,4,有,無,6500000,40333,,0.0,0,,RPWNMLKKKIHFFCD47CA,0.0,0.0,0.0,,
南區,房地(土地+建物),台南市南區新興路439巷1弄5之3號,40.1,住,,,1011130,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0670509,75.67,3,2,2,有,有,600000,7929,,0.0,0,,RPPOMLOKKIHFFCD27CA,75.67,0.0,0.0,,
東區,房地(土地+建物),台南市東區崇德路７８５號五樓之２,11.99,住,,,1011128,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0891005,102.59,3,2,2,有,無,3580000,34896,,0.0,0,總價已含車位,RPQNMLLKKIHFFCD96CA,60.4,0.0,7.22,,
南區,房地(土地+建物),台南市南區中華南路二段２３３巷６之１９號,87.36,住,,,1011109,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1010731,202.32,3,2,2,有,無,8320000,41123,,0.0,0,,RPXNMLKLKIHFFCD67CA,178.44,0.0,23.88,,
東區,房地(土地+建物)+車位,台南市東區新東里裕農路27之7號六樓,27.24,住,,,1011109,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0830201,186.95999999999998,3,2,2,有,有,7130000,38136,坡道機械,0.0,0,,RPVNMLTKKIHFFCD28CA,112.3,0.68,16.4,,
南區,土地,大山段298地號,461.17,商,,,1011127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,24937,,0.0,0,,RPTOMLRLKIHFFCD08CA,0.0,0.0,0.0,,
安南區,土地,天馬段1088地號,196.69,農,,,1011203,土地16建物0車位0,,,其他,,,,0.0,0,0,0,有,無,416500,2118,,0.0,0,,RPROMLMLKIHFFBD27CA,0.0,0.0,0.0,,
安南區,土地,溪墘段23地號,105.12,住,,,1011126,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1745158,16602,,0.0,0,,RPQNMLLKKIHFFBD86CA,0.0,0.0,0.0,,
安南區,土地,淵東段1032-1地號,222.03,住,,,1011023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,16214,,0.0,0,,RPTNMLKKKIHFFBD07CA,0.0,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區環館三路１３巷３０弄５９號,100.35,住,,,1011210,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1010607,220.3,4,2,4,有,無,6280000,28507,,0.0,0,,RPSNMLLKKIHFFBD07CA,190.73,0.0,29.57,,
安南區,房地(土地+建物),台南市安南區郡安路五段２２９號,124.36,住,,,1011126,土地1建物1車位0,一層，二層，三層，四層,四層,店面(店鋪),住商用,鋼筋混凝土構造,1010711,215.05,5,2,5,有,無,13000000,60451,,0.0,0,,RPVNMLNKKIHFFBD57CA,196.0,0.0,19.05,,
中西區,房地(土地+建物),台南市中西區府前路一段３５９巷２８號六樓之４,11.82,商,,,1011117,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0840506,74.39,2,2,1,有,有,2000000,26885,,0.0,0,,RPROMLKKKIHFFAD86CA,0.0,0.0,0.0,,
安平區,房地(土地+建物),台南市安平區健康三街１５０號二樓之３,13.47,住,,,1011126,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0950822,75.93,2,2,1,有,有,4700000,61899,,0.0,0,,RPPNMLPKKIHFFAD07CA,68.69,0.0,7.24,,
安平區,房地(土地+建物),台南市安平區健康三街12巷1號10樓之2,13.99,住,,,1011120,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0890822,77.15,2,2,1,有,有,2340000,30331,,0.0,0,,RPVNMLPKKIHFFAD67CA,50.92,1.33,7.5,,
安平區,房地(土地+建物),台南市安平區永華八街６號七樓之１,6.99,住,,,1011121,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0960719,73.33,2,1,1,有,有,2630000,35865,,0.0,0,,RPPOMLMJJHIFFAD66CA,47.86,0.65,2.67,,
北區,房地(土地+建物),台南市北區海安路三段５００巷１００弄１１號,132.68,住,,,1011119,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,0910410,342.16,5,1,6,有,無,21500000,62836,,0.0,0,,RPPPMLNJJHIFFAD86CA,321.71,0.0,20.45,,
安平區,房地(土地+建物)+車位,台南市安平區建平七街６８９號,83.62,住,,,1011019,土地1建物3車位2,一層，地下一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,0830914,467.98,6,4,4,有,有,7000000,14958,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLOLKIHFFAD67CA,439.76,14.5,13.51,,
中西區,房地(土地+建物),台南市中西區府前路一段３０４巷１５弄７號一樓,38.19,住,,,1011128,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0680525,100.27,3,1,2,有,無,3800000,37898,,0.0,0,含增建或未登記建物。,RPSOMLPLKIHFFAD57CA,82.08,0.0,0.0,,
北區,土地,北元段603地號,2639.9,住,,,1011121,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,295470900,111925,,0.0,0,,RPVOMLPLKIHFFAD87CA,0.0,0.0,0.0,,
安平區,房地(土地+建物)+車位,台南市安平區府前三街１２９號六樓之８,9.41,住,,,1011127,土地1建物1車位1,六層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0850106,57.33,2,1,1,有,有,1100000,19187,坡道機械,0.0,0,,RPOOMLRLKIHFFAD37CA,33.18,0.0,4.8,,
中西區,房地(土地+建物),台南市中西區文和街８３號,98.58,住,,,1011116,土地1建物1車位0,全,二層,透天厝,住工用,加強磚造,0590127,110.89,2,1,2,有,無,3250000,29308,,0.0,0,屋齡老舊擬重建,RPRNMLSLKIHFFAD67CA,109.52,1.37,0.0,,
北區,房地(土地+建物),台南市北區文成二路２２號,157.5,住,,,1011105,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,0920605,369.49,5,3,5,有,無,21000000,56835,,0.0,0,本交易為二位權利人,RPTQMLNKKIHFFAD57CA,369.49,0.0,0.0,,
北區,房地(土地+建物),台南市北區長榮路四段８４巷９號,76.0,住,,,1011115,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0570228,87.03,3,2,2,有,無,5500000,63197,,0.0,0,,RPUQMLNKKIHFFAD67CA,87.03,0.0,0.0,,
北區,房地(土地+建物),台南市北區開元路148巷17弄3號,60.23,住,,,1011025,土地5建物1車位0,全,二層,透天厝,住家用,加強磚造,0560620,72.38,0,0,0,有,無,1800000,24869,,0.0,0,,RPPOMLMKKIHFFAD86CA,72.38,0.0,0.0,,
北區,房地(土地+建物)+車位,台南市北區北園街８巷２６號十八樓之３,13.5,住,,,1011123,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0961227,172.38,3,2,2,有,有,6380000,37011,坡道平面,0.0,0,,RPQPMLMKKIHFFAD07CA,96.11,0.0,5.66,,
中西區,房地(土地+建物),台南市中西區西門路一段４１２號,59.0,住,,,1011124,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土構造,0730519,326.0,5,2,4,有,無,10500000,32209,,0.0,0,,RPSPMLMKKIHFFAD27CA,0.0,0.0,0.0,,
