鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路２５０巷２５號五樓之１,44.55,住,,,1141010,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100701,122.84,3,2,2,有,有,10400000,84663,一樓平面,14.24,0,其他增建；,RPUNMLQLJHLGFID98DA,73.6,0.0,6.65,有,142
歸仁區,土地,媽祖廟段三小段1106地號,936.0,,特定農業區,農牧用地,1141018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8500000,9081,,0.0,0,,RPOOMLOJKHLGFID18DA,0.0,0.0,0.0,無,
仁德區,土地,岳王段115地號,131.51,住,,,1141015,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,45624,,0.0,0,,RPPNMLQJKHLGFID48EA,0.0,0.0,0.0,無,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智慧三街５號十一樓之５,39.9,住,,,1140908,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140918,201.78,4,2,2,有,有,19230000,104420,坡道平面,50.18,3400000,預售屋、或土地及建物分件登記案件；,RPOOMLQLJHLGFID48DA,92.61,0.0,8.05,有,
永康區,房地(土地+建物),臺南市永康區忠孝路２３９巷２８弄２６號,181.19,住,,,1140905,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土構造,1060301,192.87,4,2,3,有,無,26800000,138954,,0.0,0,陽台外推；其他增建；,RPROMLSLJHLGFKD56DA,176.74,0.0,16.13,無,143
關廟區,土地,下湖段626地號,4114.22,,一般農業區,農牧用地,1140925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21000000,5104,,0.0,0,,RPPOMLTKJHLGFID78DA,0.0,0.0,0.0,無,
玉井區,土地,口宵里段3-355地號,3221.0,,山坡地保育區,農牧用地,1140918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3400000,1056,,0.0,0,,RPPNMLMJKHLGFJD18EA,0.0,0.0,0.0,無,144
安平區,房地(土地+建物)+車位,臺南市安平區建平十七街４３號三樓之６,8.3,商,,,1140917,土地1建物1車位1,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831011,139.53,3,2,2,有,有,7000000,50168,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNJKHLGFAD87DA,75.35,0.0,13.34,有,
中西區,房地(土地+建物)+車位,臺南市中西區民權路一段１９１號六樓之１,14.8,商,,,1140914,土地3建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1140506,117.57,2,1,2,有,有,13900000,118227,升降機械,19.03,0,,RPTOMLNJKHLGFAD77DA,62.95,0.0,3.27,有,145
佳里區,房地(土地+建物),臺南市佳里區文化路６６８之１號二樓之３,33.76,住,,,1140907,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140923,89.82,2,2,2,有,有,5980000,66578,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVNMLTLJHLGFGD56DA,61.31,0.0,7.94,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高發二路３０８號四樓之９,24.33,商,,,1140916,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120808,140.6,3,2,2,有,有,12000000,85349,坡道平面,20.6,0,,RPWNMLOJKHLGFID88DA,73.17,0.0,4.42,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智慧三街５號四樓之２,40.46,住,,,1140818,土地1建物1車位2,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140918,203.78,4,2,2,有,有,17900000,94401,坡道平面,50.18,3400000,預售屋、或土地及建物分件登記案件；,RPTNMLTJJHLGFID98DA,94.03,0.0,8.05,有,
下營區,土地,營和段395地號,208.43,住,,,1140818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4287400,20570,,0.0,0,,RPRNMLMKJHLGFFD87DA,0.0,0.0,0.0,無,
歸仁區,土地,沙崙段1605-2地號,2425.0,,特定專用區,農牧用地,1140812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,59500000,24536,,0.0,0,,RPTOMLTLJHLGFID66DA,0.0,0.0,0.0,無,
東區,房地(土地+建物),臺南市東區裕忠二街９號,100.08,住,,,1140808,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140526,234.03,5,2,6,有,無,33000000,141008,,0.0,0,,RPTNMLLMKIKGFCD97DA,219.07,0.0,14.96,有,
歸仁區,土地,成功段585地號,215.52,都市：其他:住宅區,,,1140724,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2730871,12671,,0.0,0,本交易含公共設施保留地。,RPPNMLRJKIKGFID48DA,0.0,0.0,0.0,無,
歸仁區,土地,成功段536地號,23.6,住,,,1140724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1185074,50215,,0.0,0,,RPQNMLRJKIKGFID58DA,0.0,0.0,0.0,無,
歸仁區,土地,成功段537地號,63.21,住,,,1140724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3174090,50215,,0.0,0,,RPRNMLRJKIKGFID68DA,0.0,0.0,0.0,無,
歸仁區,土地,成功段538地號,36.44,住,,,1140724,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1829834,50215,,0.0,0,,RPSNMLRJKIKGFID78DA,0.0,0.0,0.0,無,
歸仁區,土地,成功段532地號,92.54,住,,,1140724,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4646895,50215,,0.0,0,,RPTNMLRJKIKGFID88DA,0.0,0.0,0.0,無,
歸仁區,土地,成功段535地號,253.48,住,,,1140724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12728498,50215,,0.0,0,,RPUNMLRJKIKGFID98DA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區西門路一段４６６號四樓之６,20.94,商,,,1140731,土地5建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700605,114.17,3,2,2,有,有,7000000,61312,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLKMJHLGFAD37DA,90.3,0.0,0.0,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智慧三街１號六樓之５,32.72,住,,,1140623,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140918,149.89999999999998,3,2,2,有,有,14380000,102069,坡道平面,25.67,1700000,預售屋、或土地及建物分件登記案件；,RPRPMLPKJHLGFID68DA,75.14,0.0,7.41,有,
善化區,土地,曾文段1399地號,1699.0,,特定農業區,農牧用地,1140610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11000000,6474,,0.0,0,,RPQOMLTLJHLGFHD88DA,0.0,0.0,0.0,無,
安南區,土地,長溪段379地號,11.44,農,,,1140626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,78600,6871,,0.0,0,地清或未辦繼承標售；,RPPNMLTLJHLGFBD18EA,0.0,0.0,0.0,無,
永康區,土地,大灣段5437-1地號,559.0,農,,,1140612,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11840000,21181,,0.0,0,農作物；,RPQNMLKMJHLGFKD28DA,0.0,0.0,0.0,無,
佳里區,房地(土地+建物),臺南市佳里區文化路６６８之１號五樓之６,34.91,住,,,1140629,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140923,92.16000000000001,2,2,2,有,有,6750000,73242,,0.0,0,預售屋、或土地及建物分件登記案件；,RPWNMLTLJHLGFGD66DA,62.06,0.0,8.98,有,
